"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-08-31,63974,"15243","PA","Pittsburgh","Allegheny","Pittsburgh",7181,227200,-0.00219587176108915,0.00397702165267344,0.0592074592074592,0.059068847796484,0.0319224910706182,"2018-06","2018-Q2",227800,-0.00263388937664618,"2018-06"
2018-08-31,99132,"97218","OR","Portland-Vancouver-Hillsboro","Multnomah","Portland",7182,387700,-0.000257864878803507,0.00129132231404959,0.0302949774116397,0.100211408656757,0.052012479362239,"2018-06","2018-Q2",388400,-0.00180226570545829,"2018-06"
2018-08-31,58279,"01118","MA","Springfield","Hampden","Springfield",7183,172400,-0.00289184499710815,0,0.0694789081885856,0.0407091849408081,0.01206817126634,"2018-06","2018-Q2",173000,-0.00346820809248555,"2018-05"
2018-08-31,70880,"30103","GA","Atlanta-Sandy Springs-Roswell","Bartow","Adairsville",7184,142300,0.00423429781227946,0.0186113099498926,0.0564216778025241,0.0834837442553502,0.0122398612376577,"2003-07","2003-Q3",192400,-0.26039501039501,
2018-08-31,72928,"33947","FL","Punta Gorda","Charlotte","Rotonda West",7185,251100,0.00279552715654952,0.00600961538461539,0.0484342379958246,0.112131428864777,0.024757972466827,"2006-05","2006-Q2",311100,-0.192864030858245,"2005-04"
2018-08-31,81432,"53717","WI","Madison","Dane","Madison",7186,307400,-0.00129954515919428,-0.00097497562560936,0.0325831373866308,0.044132397472139,0.0187046698707825,"2018-06","2018-Q2",308500,-0.00356564019448947,"2018-05"
2018-08-31,82249,"55398","MN","Minneapolis-St. Paul-Bloomington","Sherburne","Zimmerman",7187,228900,-0.00348280365694384,-0.000436681222707424,0.0661387983232417,0.0763273628683079,0.0297417060147311,"2018-06","2018-Q2",230000,-0.00478260869565217,"2018-05"
2018-08-31,82227,"55376","MN","Minneapolis-St. Paul-Bloomington","Wright","Saint Michael",7188,271500,-0.00293793609988983,-0.006949524506218,0.0183795948987247,0.0499283002705975,0.0206547052014692,"2006-09","2006-Q3",274200,-0.00984682713347921,"2006-06"
2018-08-31,99226,"97367","OR","Newport","Lincoln","Lincoln City",7189,280100,-0.000356887937187723,0.010826416456153,0.127616747181965,0.0698858276724823,0.00180477684117242,"2007-06","2007-Q2",304800,-0.0810367454068242,"2006-11"
2018-08-31,70781,"29936","SC","Hilton Head Island-Bluffton-Beaufort","Jasper","Ridgeland",7190,128600,0.000778210116731518,0.0141955835962145,0.125109361329834,0.0534973871456292,0.00117395190352232,"2007-12","2007-Q4",134300,-0.0424422933730454,"2006-12"
2018-08-31,73941,"36567","AL","Daphne-Fairhope-Foley","Baldwin","Robertsdale",7191,153700,-0.00259571706683971,0.00853018372703412,0.126007326007326,0.0564433287006263,0.0107599351898635,"2018-07","2018-Q3",154100,-0.00259571706683971,"2018-07"
2018-08-31,99711,"98321","WA","Seattle-Tacoma-Bellevue","Pierce","Buckley",7192,383100,-0.00260348867482426,0.00922023182297155,0.10594688221709,0.0955910483140889,0.0217281695417568,"2018-07","2018-Q3",384100,-0.00260348867482426,"2018-06"
2018-08-31,93805,"81520","CO","Grand Junction","Mesa","Clifton",7193,170600,-0.000585823081429408,0.00530347672362994,0.0702634880803011,0.0688346239869375,-0.00451646656701465,"2008-05","2008-Q2",181000,-0.0574585635359116,"2007-07"
2018-08-31,77540,"45249","OH","Cincinnati","Hamilton","Montgomery",7194,371300,-0.00053835800807537,0.00514347590687602,0.052437641723356,0.0543854588317898,0.0272298966703304,"2018-07","2018-Q3",371500,-0.00053835800807537,"2018-07"
2018-08-31,97762,"94556","CA","San Francisco-Oakland-Hayward","Contra Costa","Moraga",7195,1308600,-0.00205902539464653,-0.00160219729915312,0.0209080979872055,0.0353320025353667,0.0433147275884274,"2018-04","2018-Q2",1313100,-0.00342700479780672,"2018-03"
2018-08-31,85870,"63025","MO","St. Louis","Saint Louis","Eureka",7196,284100,-0.00105485232067511,-0.00385694249649369,0.0300942712110225,0.0463587381920467,0.0130308361588733,"2018-04","2018-Q2",286100,-0.00699056274030059,"2018-03"
2018-08-31,62784,"12839","NY","Glens Falls","Washington","Hudson Falls",7197,139600,-0.00143061516452074,-0.00285714285714286,0.0340740740740741,0.0358954176541102,0.0106078166954788,"2018-06","2018-Q2",140100,-0.00356887937187723,"2018-05"
2018-08-31,62310,"11963","NY","New York-Newark-Jersey City","Suffolk","Noyack",7198,1651000,-0.0038013636637905,-0.0219773710088265,0.0320040005000625,0.173639223608434,0.0449135578868074,"2018-02","2018-Q1",1720200,-0.0402278804790141,"2017-12"
2018-08-31,69423,"27574","NC","Durham-Chapel Hill","Person","Roxboro",7199,131800,0.00228136882129278,0.00918836140888208,0.0732899022801303,0.0280037631074037,0.00685222871077618,"2018-08","2018-Q3",131800,0,"2018-08"
2018-08-31,72663,"33534","FL","Tampa-St. Petersburg-Clearwater","Hillsborough","Gibsonton",7200,195200,-0.0035732516590097,0.00153925089789636,0.0562770562770563,0.095041442385434,0.018859160340069,"2006-09","2006-Q3",241500,-0.191718426501035,"2006-01"
2018-08-31,89809,"72921","AR","Fort Smith","Crawford","Alma",7201,134800,0,0.00597014925373134,0.0158251695553881,0.0263264386271991,0.015158020103514,"2018-08","2018-Q3",134800,0,"2018-08"
2018-08-31,95299,"87104","NM","Albuquerque","Bernalillo","Albuquerque",7202,206100,-0.00145348837209302,0.0162721893491124,0.156565656565657,0.055126074933177,0.00875245200880115,"2018-07","2018-Q3",206400,-0.00145348837209302,"2018-07"
2018-08-31,85593,"62629","IL","Springfield","Sangamon","Chatham",7203,174600,0.000573065902578797,0.0046029919447641,-0.0278396436525612,0.009655664712791,0.0138078417132872,"2017-03","2017-Q1",186000,-0.0612903225806452,"2016-08"
2018-08-31,93813,"81601","CO","Glenwood Springs","Garfield","Glenwood Springs",7204,463100,-0.0060098733633827,-0.000431685732786531,0.0809990662931839,0.0864479140496808,-0.00070919993940799,"2008-05","2008-Q2",478000,-0.0311715481171548,"2007-12"
2018-08-31,69850,"28315","NC","Pinehurst-Southern Pines","Moore","Aberdeen",7205,157700,0,0.00573979591836735,0.0450629555997349,0.031813694528493,0.0131761630738805,"2018-08","2018-Q3",157700,0,"2018-08"
